,id,name,img,grade,lat,lng,phoneNumber,address,naver_map_url,address2
0,0,서초헬스크럽,,4.57,37.5038111062408,127.021292917493,542-5457,"서울특별시 서초구 사평대로 349  (반포동,2층)",1744103267,서울 서초구 서초중앙로 15 상가 B1 슈퍼빌스포츠클럽
1,1,한전아트센터스포츠클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191209_166%2F1575878961958FTQ2V_JPEG%2F30PkxuprHkmVGSGAyPXYNOQG.jpg,4.4,37.4856046634033,127.028078834421,2055-1331,서울특별시 서초구 효령로72길 60 (서초동),1223657721,서울 서초구 효령로72길 60
2,2,우성헬스 2,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180919_185%2F1537343918834AXH1z_JPEG%2Fhst30Pldpvx1Goz6KJvKd4Ht.jpg,,37.4881216800977,127.014931006517,582-1817,"서울특별시 서초구 서초중앙로 72  (서초동,지하1층)",1226621811,서울 서초구 효령로77길 34 3층 310호
3,3,코아텔휘트니스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220519_6%2F1652911952591BNjyd_JPEG%2FIMG_6827.jpg,4.5,37.4939616380396,127.02791641287,6288-3301,"서울특별시 서초구 강남대로53길 11  (서초동,지하2층)",12922948,서울 서초구 강남대로53길 11 삼성쉐르빌2 지하2층 전층
4,4,대한퍼스널트레이닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220216_78%2F1645009957090LNUK9_JPEG%2FP20181228_153232961_CD8D641A-5DBB-457B-8324-4A6E94EB80BB.jpg,,37.5100088988029,127.019980401098,515-2108,"서울특별시 서초구 사평대로55길 139  (반포동,미성빌딩4층)",37264113,서울 강남구 테헤란로5길 36 1층
5,5,휘트니스 모션,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220720_132%2F1658292664511dz7ks_JPEG%2F%25C8%25AD%25B8%25E9_%25C4%25B8%25C3%25B3_2022-07-14_120018.jpg,4.31,37.4915088027577,126.990928299196,02-595-9922,"서울특별시 서초구 방배로 205 (방배동, 3층)",37746677,서울 서초구 방배로 205 대명빌딩 3층
6,6,휘트니스에프엠 교대점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220714_64%2F1657783411248DWdxu_JPEG%2F234.jpg,4.88,37.4940331549084,127.015892124665,585-8337,"서울특별시 서초구 서초대로 314 (서초동,지1층)",35678522,서울 서초구 서초대로 314 정보통신공제조합빌딩
7,7,플라이 짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220712_251%2F1657590923662M05WT_JPEG%2F5e546f2ba6b5facde2450b74_qedgolf-intro.jpg,4.89,37.4843352446262,127.029508644272,3474-8974,"서울특별시 서초구 서운로 3 (서초동,(지하1층))",979577133,서울 서초구 서운로 3 지하1층
8,8,안전지대 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181207_133%2F1544179372358bfaVJ_JPEG%2F7btEbXokjT75YFU8i9uzbGx7.jpg,4.5,37.4969314536823,126.983668491403,595-9682,"서울특별시 서초구 동작대로 230 (방배동,(지하1층))",35664351,서울 서초구 동작대로 230 화련회관
9,9,마크짐휘트니스,,4.76,37.4860057231492,127.010107986769,521-1180,"서울특별시 서초구 반포대로 63  (서초동,진석빌딩 지하1층)",21597899,서울 서초구 반포대로 63 진석빌딩 지하1층
10,10,플레이핏 앤 필라테스,,4.0,37.4995883245435,127.01195622147,595-3060,"서울특별시 서초구 서초중앙로 199 (반포동,(지하1층))",18288385,서울 서초구 서초중앙로 199
11,11,언남문화체육센터,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151208_21%2F1449553247323A6UTb_JPEG%2F167158547064711_0.jpeg,4.41,37.4723300184587,127.043005236379,577-7718,"서울특별시 서초구 동산로13길 35 (양재동,언남중고공공복합시설 지하중층)",13319839,서울 서초구 동산로13길 35
12,12,고투(GOTO) 방배,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200603_160%2F1591150999703Ua07e_JPEG%2FeQiHHVXCpW5NKBcn1zfl89QV.jpg,4.17,37.486064623049,126.995187234526,525-5944-5,"서울특별시 서초구 방배로 132, 지하1~2층 (방배동)",none,
