id,name,img,grade,lat,lng,phoneNumber,address
0,한스남여헬스타운,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180808_132%2F1533713068239tu9w6_JPEG%2FwVcDiCkqEK0apo9R0cq6Vq-a.jpg,,37.6139120204367,127.042431645534,982-1497,서울특별시 성북구 장위로 52  (장위동)
1,업타운 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220713_275%2F1657691832140mJzWP_JPEG%2F%25BE%25F7%25C5%25B8%25BF%25EE%25C8%25D6%25C6%25AE%25B4%25CF%25BD%25BA.jpg,4.82,37.59129865544,127.019058020825,926-7172,"서울특별시 성북구 보문로34길 69, 201호 (동선동1가,창천빌딩)"
2,올리브짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_204%2F1441025594200RBbxV_JPEG%2FSUBMIT_1413883954937_19978160.jpg,4.06,37.5933260265911,127.018175678094,953-7189,"서울특별시 성북구 동소문로 118 (동선동1가,플라밍스타워B2)"
3,TLC휘트니스센타,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200628_257%2F1593352512842yOSGM_JPEG%2F8U7gv3Sgg4jz_UgrMRBDwxpt.jpg,,37.60453301046491,127.03415989478816,,"서울특별시 성북구 오패산로 25, 5,6층 (하월곡동)"
4,시티짐 시그니처,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211025_198%2F1635129369407ICanm_JPEG%2F6bCvspoBY0wbQTK9vxZi103N.jpg,4.58,37.6014322610612,127.032723484045,921-6001,"서울특별시 성북구 종암로 129 (종암동,청한상가 2층)"
5,BM 휘트니스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201020_53%2F1603158560209QvroL_JPEG%2FAiAXNUJ_T_FVjV-OOudByPz9.jpg,4.53,37.583713478664,127.020603298681,02-922-4222,"서울특별시 성북구 보문로 94, 7층 (보문동4가, 화성빌딩)"
6,휘트니스베이24시 석관점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190408_175%2F15547332870762KFU2_JPEG%2FqxXMQMtRwtcGdA45k2FqtWmS.jpg,,37.6069861597956,127.06573416693,,"서울특별시 성북구 한천로 509 (석관동,코오롱아파트상가(지하))"
7,비타민 휘트니스클럽,,4.55,37.6042686933031,127.011370819691,913-9517,"서울특별시 성북구 정릉로 250  (정릉동,정릉빌딩 5층)"
8,블랙멀티짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220119_184%2F1642584723072hThto_PNG%2F5BFB797D-D1F7-4E6E-A12B-603762FB0C38.png,4.71,37.61294876816,127.065007073046,,서울특별시 성북구 한천로76다길 43 (석관동)
9,시티짐 119종암,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211125_60%2F1637813775115e4BFu_JPEG%2FKakaoTalk_20211125_131256314_09.jpg,4.45,37.6019197443065,127.03351787574,909-8844,"서울특별시 성북구 종암로 132, B104-1,B104-2,B105,B106,B107호 (종암동, 종암우림카이저팰리스)"
