company_id,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,22:30
4,,,,,,,,,,,,,08:00,23:00
5,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,09:00,20:00,,
6,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,21:00,10:00,21:00
7,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,09:00,18:00
8,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,08:00,20:00,10:00,20:00
9,06:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,10:00,20:00,10:00,20:00
10,,,,,,,,,,,,,,
11,06:00,21:50,06:00,21:50,06:00,21:50,06:00,21:50,06:00,21:50,10:00,17:50,,
12,,,,,,,,,,,,,,
13,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,06:00,23:30,09:00,18:00,09:00,18:00
14,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,18:00,,
15,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,18:00,,
16,,,,,,,,,,,,,,
17,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,09:00,18:00,12:00,18:00
18,,,,,,,,,,,,,,
19,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,10:00,18:00,10:00,18:00
20,,,,,,,,,,,,,09:00,23:50
21,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,10:00,18:00,10:00,18:00
22,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,09:00,18:00,09:00,18:00
23,,,,,,,,,,,,,,
24,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,,,,
25,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,10:00,15:00,,
26,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,11:00,18:00,,
27,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,06:00,24:00,10:00,19:00,10:00,19:00
28,,,,,,,,,,,,,,
29,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,10:00,19:00,00:00,24:00
30,,,,,,,,,,,,,07:00,23:00
31,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,09:00,15:00,,
32,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,14:00,,
